File;Component;Code;Quote
data/mvp_2.txt;Actors;Workplace/Employer;They also give out travel vouchers for public transport, which is sweet.
data/mvp_2.txt;Actors;Workplace/Employer;There’s definitely a culture of “hey, let’s not destroy the planet if we don’t have to,” which I appreciate.
data/mvp_2.txt;Archetypes;Eco-conscious commuter;I’m trying to be more mindful without going extreme.
data/mvp_2.txt;Archetypes;Eco-conscious commuter;I don’t own a car anymore, and honestly, I don’t miss it.
data/mvp_2.txt;Archetypes;Pragmatic commuter;Traffic was a nightmare, parking was expensive, and I started feeling guilty about my car basically puffing out fumes every day.
data/mvp_2.txt;Archetypes;Pragmatic commuter;If public transport is reliable, clean, and not wildly expensive, more people will use it.
data/mvp_2.txt;Physical Components;Tram;Mostly by tram, actually.
data/mvp_2.txt;Physical Components;Tram;Now, I just hop on the tram, scroll through memes or read the news, and boom—I’m at work in 20 minutes.
data/mvp_2.txt;Physical Components;Bike;I’ve thought about biking more often, but I need to invest in one that doesn’t squeak like a haunted house.
data/mvp_2.txt;Physical Components;Bike;We’ve got a bike rack, some people use it religiously.
data/mvp_2.txt;Social Aspect;Workplace support for sustainable commuting;We’ve got a bike rack, some people use it religiously.
data/mvp_2.txt;Social Aspect;Workplace support for sustainable commuting;They also give out travel vouchers for public transport, which is sweet.
data/mvp_2.txt;Social Aspect;Social Norms;There’s definitely a culture of “hey, let’s not destroy the planet if we don’t have to,” which I appreciate.
data/mvp_2.txt;Social Aspect;Social Norms;I figured if I could cut down on emissions and stress at the same time… win-win, right?
data/mvp_2.txt;Psychological Aspect;Stress reduction;sitting in traffic every morning was driving me a bit mad.
data/mvp_2.txt;Psychological Aspect;Stress reduction;I’m less grumpy in the mornings, I save money, and I don’t have to panic about finding parking anymore.
data/mvp_2.txt;Psychological Aspect;Guilt reduction;I started feeling guilty about my car basically puffing out fumes every day.
data/mvp_2.txt;Psychological Aspect;Guilt reduction;I’m trying to be more mindful without going extreme.
data/mvp_2.txt;Misc;Distance;I work in the city center, about 6 or 7 kilometers from home.
data/mvp_2.txt;Misc;Distance;It takes about 45 minutes, but I throw on a podcast and it’s actually pretty relaxing.
data/mvp_2.txt;Misc;Weather;If the weather’s nice, I’ll walk.
data/mvp_2.txt;Misc;Weather;Sometimes, yeah! If the weather’s nice, I’ll walk.
data/mvp_2.txt;Key Activities;Choosing a mode of transport;I used to drive, but sitting in traffic every morning was driving me a bit mad. Now, I just hop on the tram
data/mvp_2.txt;Key Activities;Choosing a mode of transport;If the weather’s nice, I’ll walk.
data/mvp_2.txt;Key Activities;Commuting to work;I work in the city center, about 6 or 7 kilometers from home.
data/mvp_2.txt;Key Activities;Commuting to work;Now, I just hop on the tram, scroll through memes or read the news, and boom—I’m at work in 20 minutes.
data/mvp_3.txt;Actors;Commuters;Most people aren’t against sustainable transport—they just find it harder.
data/mvp_3.txt;Actors;Commuters;People talk about their commute in terms of quality of life, not just cost or speed.
data/mvp_3.txt;Actors;City Planners/Designers;If we design systems better—trains, buses, bike infrastructure—people will naturally make better choices without needing constant moral pressure.
data/mvp_3.txt;Actors;City Planners/Designers;Until cities treat cyclists as full participants in the network, adoption will be uneven.
data/mvp_3.txt;Archetypes;Sustainable Commuter;Eventually I settled on the train because it’s the most predictable and time-efficient for my route.
data/mvp_3.txt;Archetypes;Sustainable Commuter;I’m not someone who’s driven by slogans, but I care about long-term impact.
data/mvp_3.txt;Archetypes;Car Dependent Commuter;If it’s slower, more confusing, or less comfortable than driving, they’ll default to the car.
data/mvp_3.txt;Archetypes;Car Dependent Commuter;Convenience and perception.
data/mvp_3.txt;Physical Components;Transportation Infrastructure;trains, buses, bike infrastructure
data/mvp_3.txt;Physical Components;Transportation Infrastructure;more park-and-ride stations or bike-share hubs
data/mvp_3.txt;Physical Components;Ticketing Systems;better integration of ticketing systems.
data/mvp_3.txt;Physical Components;Ticketing Systems;One pass, one system, clear information.
data/mvp_3.txt;Social Aspect;Community Benefits;fewer individual cars on the road benefits everyone.
data/mvp_3.txt;Social Aspect;Community Benefits;People talk about their commute in terms of quality of life, not just cost or speed.
data/mvp_3.txt;Social Aspect;Safety Norms;urban cycling still comes with risk factors—lane coverage, aggressive driving behavior.
data/mvp_3.txt;Social Aspect;Safety Norms;Until cities treat cyclists as full participants in the network, adoption will be uneven.
data/mvp_3.txt;Psychological Aspect;Stress Reduction;I also find I can use the time more productively—reading, planning, or sometimes just mentally resetting.
data/mvp_3.txt;Psychological Aspect;Stress Reduction;Reducing stress, improving fitness, saving money—these things add up.
data/mvp_3.txt;Psychological Aspect;Perception of Convenience;Most people aren’t against sustainable transport—they just find it harder.
data/mvp_3.txt;Psychological Aspect;Perception of Convenience;If it’s slower, more confusing, or less comfortable than driving, they’ll default to the car.
data/mvp_3.txt;Misc;Climate Policy;Transportation is one of the more solvable areas in climate policy.
data/mvp_3.txt;Misc;Climate Policy;I’m not someone who’s driven by slogans, but I care about long-term impact.
data/mvp_3.txt;Misc;Time Management;I’m more deliberate with my time.
data/mvp_3.txt;Misc;Time Management;I use commute time to disconnect or refocus.
data/mvp_3.txt;Key Activities;Commuting Mode Choice;I’ve experimented with different options over the years—driving, biking, walking combinations.
data/mvp_3.txt;Key Activities;Commuting Mode Choice;Eventually I settled on the train because it’s the most predictable and time-efficient for my route.
data/mvp_3.txt;Key Activities;System Design and Planning;If we design systems better—trains, buses, bike infrastructure—people will naturally make better choices without needing constant moral pressure.
data/mvp_3.txt;Key Activities;System Design and Planning;Integrated planning. I’d focus on synchronizing modes—bus, train, bike—with a single, unified platform.
