File;Component;Code;Quote
data/mvp_2.txt;Misc;Distance;I work in the city center, about 6 or 7 kilometers from home.
data/mvp_2.txt;Misc;Distance;It takes about 45 minutes, but I throw on a podcast and it’s actually pretty relaxing.
data/mvp_2.txt;Misc;Weather;If the weather’s nice, I’ll walk.
data/mvp_2.txt;Misc;Weather;Sometimes, yeah! If the weather’s nice, I’ll walk.
data/mvp_2.txt;Key Activities;Choosing a commute method;I used to drive, but sitting in traffic every morning was driving me a bit mad.
data/mvp_2.txt;Key Activities;Choosing a commute method;I’m trying to be more mindful without going extreme. Like, I recycle, I try not to waste food, and I walk or use public transport when I can.
data/mvp_2.txt;Key Activities;Interacting with public transport;Mostly by tram, actually.
data/mvp_2.txt;Key Activities;Interacting with public transport;Just make it easier and cheaper. If public transport is reliable, clean, and not wildly expensive, more people will use it.
data/mvp_3.txt;Actors;Commuters;people will naturally make better choices without needing constant moral pressure.
data/mvp_3.txt;Actors;Commuters;Most people aren’t against sustainable transport—they just find it harder.
data/mvp_3.txt;Actors;City Planners/Designers;If we design systems better—trains, buses, bike infrastructure—people will naturally make better choices
data/mvp_3.txt;Actors;City Planners/Designers;Integrated planning. I’d focus on synchronizing modes—bus, train, bike—with a single, unified platform.
data/mvp_3.txt;Archetypes;Sustainable Commuter;Eventually I settled on the train because it’s the most predictable and time-efficient for my route.
data/mvp_3.txt;Archetypes;Sustainable Commuter;I’m not someone who’s driven by slogans, but I care about long-term impact.
data/mvp_3.txt;Archetypes;Pragmatic Commuter;If it’s slower, more confusing, or less comfortable than driving, they’ll default to the car.
data/mvp_3.txt;Archetypes;Pragmatic Commuter;Yes, and I do it occasionally when the weather’s right and I don’t need to carry too much.
data/mvp_3.txt;Physical Components;Transportation Infrastructure;trains, buses, bike infrastructure
data/mvp_3.txt;Physical Components;Transportation Infrastructure;more park-and-ride stations or bike-share hubs
data/mvp_3.txt;Physical Components;Ticketing Systems;better integration of ticketing systems.
data/mvp_3.txt;Physical Components;Ticketing Systems;One pass, one system, clear information.
data/mvp_3.txt;Social Aspect;Community Benefits;fewer individual cars on the road benefits everyone.
data/mvp_3.txt;Social Aspect;Community Benefits;People talk about their commute in terms of quality of life, not just cost or speed.
data/mvp_3.txt;Social Aspect;Cyclist Integration;Until cities treat cyclists as full participants in the network, adoption will be uneven.
data/mvp_3.txt;Social Aspect;Cyclist Integration;lane coverage, aggressive driving behavior.
data/mvp_3.txt;Psychological Aspect;Stress Reduction;I also find I can use the time more productively—reading, planning, or sometimes just mentally resetting.
data/mvp_3.txt;Psychological Aspect;Stress Reduction;Reducing stress, improving fitness, saving money—these things add up.
data/mvp_3.txt;Psychological Aspect;Perception of Convenience;Convenience and perception.
data/mvp_3.txt;Psychological Aspect;Perception of Convenience;Once people stop worrying about the “how” and focus on the “why,” adoption will follow.
data/mvp_3.txt;Misc;Climate Change;Transportation is one of the more solvable areas in climate policy.
data/mvp_3.txt;Misc;Climate Change;I care about long-term impact.
data/mvp_3.txt;Misc;City Environment;urban cycling still comes with risk factors
data/mvp_3.txt;Misc;City Environment;the weather’s right and I don’t need to carry too much
data/mvp_3.txt;Key Activities;Commute Decision Making;I’ve experimented with different options over the years—driving, biking, walking combinations.
data/mvp_3.txt;Key Activities;Commute Decision Making;they just find it harder. If it’s slower, more confusing, or less comfortable than driving, they’ll default to the car.
data/mvp_3.txt;Key Activities;System Improvement;We’ve made good progress in recent years—improved train frequency, better integration of ticketing systems.
data/mvp_3.txt;Key Activities;System Improvement;Infrastructure first, then behavior follows.
